response_id,grna_target,n_nonzero_trt,n_nonzero_cntrl,pass_qc,p_value,fold_change,se_fold_change,log_2_fold_change,significant,gene,control_detect_frac,control_mean_cpm,passes_expression_filter,expected_ko_direction,direction_matches_expectation
Mllt1,Mllt1,35,1406,True,0.22,0.836622780630657,0.102213925850931,-0.257350812832474,False,Mllt1,0.6091025095703916,0.6538127278322673,True,negative,True
Puf60,Puf60,87,2129,True,0.224,0.940337539335886,0.047991095356329,-0.0887493818035694,False,Puf60,0.9196086771586497,2.354976004114356,True,negative,True
Col4a1,Col4a1,59,2100,True,0.228,0.93298745866265,0.0969179063879229,-0.100070406572179,False,Col4a1,0.9081242024670292,2.554459033364971,True,negative,True
Krt10,Krt10,9,557,True,0.228,0.728397604667685,0.253149969022706,-0.457201916861099,False,Krt10,0.24330072309655318,0.18002893404913267,True,negative,True
Vamp3,Vamp3,39,995,True,0.232,0.844184497249069,0.116440691056103,-0.244369759251144,False,Vamp3,0.43470863462356163,0.3951668879039954,True,negative,True
Cmtm6,Cmtm6,43,1234,True,0.236,1.14109788464075,0.14708695135523,0.190422552913812,False,Cmtm6,0.5376435559336418,0.5260536937134291,True,negative,False
Fau,Fau,55,2169,True,0.236,0.924931237565207,0.0634708687570738,-0.112581979973149,False,Fau,0.9387494683113505,3.2293798233693796,True,negative,True
Kidins220,Kidins220,47,1268,True,0.24,1.15328142269539,0.145536106646729,0.205744601095713,False,Kidins220,0.5495533815397667,0.5620867542964545,True,negative,False
Nktr,Nktr,114,1791,True,0.248,1.06803161938881,0.0680313578455503,0.0949543590668259,False,Nktr,0.7758400680561411,1.1862152233228938,True,negative,False
Vps18,Vps18,26,808,True,0.252,1.19877456944794,0.202362071247952,0.261560384259006,False,Vps18,0.35346660995320917,0.28591564961355587,True,negative,False
Adcy6,Adcy6,8,237,True,0.256,1.47882818854486,0.541546015970917,0.564454448696143,False,Adcy6,0.1033602722245848,0.06742950234446345,True,negative,False
Hgfac,Hgfac,17,588,True,0.26,1.28884717549575,0.298272221231922,0.366081206891577,False,Hgfac,0.2581880051042094,0.21060473632624913,True,negative,False
Pbx3,Pbx3,19,552,True,0.26,1.2606461875755,0.267453525653812,0.334163426297414,False,Pbx3,0.2407486176095264,0.1810795227344879,True,negative,False
Wdr18,Wdr18,37,1923,True,0.264,0.879227406062719,0.0962384168136567,-0.185691738201507,False,Wdr18,0.8328370905997392,1.505073186816123,True,negative,True
Mtmr3,Mtmr3,41,1331,True,0.268,1.15467776618178,0.128222447651471,0.207490297534971,False,Mtmr3,0.5780518928115658,0.6075224469347891,True,negative,False
Fbxo46,Fbxo46,28,899,True,0.272,1.20976513821141,0.16408793161618,0.274726992271857,False,Fbxo46,0.3921735431731153,0.327487610376191,True,negative,False
