response_id,grna_target,n_nonzero_trt,n_nonzero_cntrl,pass_qc,p_value,fold_change,se_fold_change,log_2_fold_change,significant
Uevld,Uevld,34,1431,True,0.424,1.09813588269761,0.142357619616991,0.135056583637027,False
Fbxw5,Fbxw5,70,1458,True,0.428,0.923076784636291,0.0869309629356625,-0.115477433791534,False
Foxk2,Foxk2,27,851,True,0.428,0.862075155454831,0.143035208362674,-0.214114446367012,False
Gars,Gars,22,366,True,0.428,1.18107307301003,0.233810756529987,0.240098227061821,False
Map4k2,Map4k2,34,1115,True,0.428,1.12126471321351,0.136483888474287,0.165126916284687,False
Rnd3,Rnd3,35,1861,True,0.428,1.09006014519469,0.113269391407663,0.124407739387723,False
Zfp512b,Zfp512b,43,979,True,0.428,1.0879651283937,0.160642153185327,0.121632315871596,False
Acp6,Acp6,23,870,True,0.432,0.862587142496519,0.146027853984065,-0.213257883098228,False
Anapc11,Anapc11,181,2124,True,0.432,1.03023844362395,0.0404455412846119,0.0429782807308381,False
Med8,Med8,57,1488,True,0.436,1.06832914172016,0.106464512302301,0.095356195687854,False
Polr3d,Polr3d,41,671,True,0.436,0.89868153280555,0.123410535542217,-0.154118138703479,False
Dynlrb1,Dynlrb1,69,2275,True,0.44,1.03186116163946,0.0513298546559775,0.0452488671865105,False
Uqcc1,Uqcc1,26,815,True,0.44,0.871071604287048,0.152084304369141,-0.199136778010612,False
Fam83h,Fam83h,25,1400,True,0.448,1.11943969113203,0.153761413478483,0.162776806307155,False
Ino80,Ino80,91,1079,True,0.448,1.06717988932719,0.094672506630612,0.0938033847523592,False
Glt8d1,Glt8d1,28,667,True,0.452,1.14548142370096,0.164526268856633,0.195954062613072,False
Usp22,Usp22,59,1792,True,0.452,0.936107919613019,0.0865073984260562,-0.0952532337587216,False
Chtop,Chtop,30,2111,True,0.46,1.09251525216325,0.118005714536494,0.12765342074801,False
Scd1,Scd1,18,674,True,0.46,0.819218413872551,0.175738065035773,-0.287679951199782,False
Yars2,Yars2,31,896,True,0.464,0.909901878269025,0.153913760188346,-0.136217118111352,False
Actl6a,Actl6a,124,1790,True,0.468,0.959495709282263,0.0537130026343774,-0.0596517399633625,False
P4hb,P4hb,123,2282,True,0.468,1.02445084867205,0.0375103512709468,0.0348507680698637,False
Sult1d1,Sult1d1,9,385,True,0.468,0.755808624447914,0.383269089400657,-0.403907113763362,False
Zc3h3,Zc3h3,20,568,True,0.472,1.16169989344001,0.243487918232288,0.216237419718817,False
Cpox,Cpox,20,1219,True,0.476,0.874010546831027,0.173565790875301,-0.194277405814792,False
Zbtb21,Zbtb21,47,1284,True,0.476,1.11045293813182,0.117908817597343,0.151148251630902,False
Cdadc1,Cdadc1,32,980,True,0.484,0.893285697895807,0.138619124579646,-0.162806431278966,False
Deaf1,Deaf1,25,784,True,0.5,0.877437020924283,0.148136393262962,-0.188632516890011,False
Nrf1,Nrf1,19,298,True,0.5,0.853943401458324,0.180247646317089,-0.227787642303103,False
Pa2g4,Pa2g4,92,1985,True,0.5,1.04777453789387,0.0589580312101269,0.0673283084246504,False
Rdh11,Rdh11,11,420,True,0.504,0.810368469264795,0.225877841999609,-0.303350053670668,False
Ubr4,Ubr4,109,1966,True,0.504,0.950608787590473,0.0590476341232379,-0.073076356665377,False
Mapk8,Mapk8,38,610,True,0.508,1.08334085017543,0.149499860051509,0.115487227702878,False
Nbas,Nbas,37,866,True,0.508,0.900697904735874,0.138653396172003,-0.150884789537187,False
Hspa14,Hspa14,57,1383,True,0.512,1.06648781442101,0.113703465410456,0.0928674816889769,False
Ppie,Ppie,56,1438,True,0.52,0.939722760344399,0.101285852315749,-0.0896929032789453,False
Atp11c,Atp11c,101,1077,True,0.528,0.953595209376218,0.0806288837898943,-0.0685511068080657,False
Atp6v0c,Atp6v0c,68,2182,True,0.532,0.965470939581531,0.0604894947000795,-0.0506952597948919,False
Phf14,Phf14,119,2143,True,0.532,0.956725679890887,0.0582726738290013,-0.063822772050043,False
Pabpc4,Pabpc4,41,1646,True,0.536,1.07268275905682,0.122173454327668,0.101223468818126,False
Gspt1,Gspt1,14,691,True,0.54,1.16644819769114,0.271651180055325,0.222122238232039,False
Parp4,Parp4,38,772,True,0.54,0.909029389437764,0.148065901431232,-0.137601156561817,False
Zfp91,Zfp91,40,2262,True,0.54,0.93600171421054,0.0667757114329356,-0.0954169228983622,False
Smad4,Smad4,66,2128,True,0.544,1.040884802991,0.0682381804086784,0.0578104112407862,False
Usp42,Usp42,42,915,True,0.544,1.09411592073621,0.140989008156467,0.129765598652924,False
Pfdn4,Pfdn4,65,1896,True,0.548,0.958326328148858,0.0841844695373716,-0.0614110904538902,False
Zdhhc3,Zdhhc3,68,1963,True,0.548,0.949643086961539,0.0743485289509262,-0.07454270083474,False
Lats1,Lats1,36,1012,True,0.552,1.07075310964436,0.131024209724839,0.098625867060364,False
Lamp2,Lamp2,72,2256,True,0.556,1.04764084693431,0.0633825309213734,0.0671442157754972,False
Ncapg2,Ncapg2,37,1117,True,0.556,1.08606634803315,0.1530450118835,0.119112240393258,False
Slc25a39,Slc25a39,102,2224,True,0.556,0.978082997986117,0.0484874547096808,-0.0319712005663355,False
Srp19,Srp19,52,2085,True,0.556,0.955341207764769,0.0893712708690012,-0.0659119996105992,False
Tdp2,Tdp2,43,883,True,0.556,0.940548662179477,0.134314783546237,-0.0884255069402194,False
Gosr1,Gosr1,105,1641,True,0.564,1.03768796876119,0.0718954082339385,0.0533726926397529,False
Gtf2a1,Gtf2a1,32,903,True,0.564,1.08556520535456,0.171956959802366,0.118446385203515,False
Ewsr1,Ewsr1,10,142,True,0.568,1.2281113556225,0.35912577636463,0.29644137904749,False
Gnptab,Gnptab,59,1218,True,0.572,1.05794665856462,0.111160575443265,0.0812668889223584,False
Alad,Alad,57,1972,True,0.584,1.04256868129934,0.0853129320941562,0.060142427224988,False
Emc9,Emc9,8,212,True,0.584,1.20395173775779,0.397835150450705,0.267777560624979,False
Fh1,Fh1,53,1839,True,0.588,0.966294507568458,0.0877987274608417,-0.0494651337210318,False
Gtf2i,Gtf2i,85,2163,True,0.588,1.0281279471163,0.0671484327436804,0.0400198143216548,False
Zmiz1,Zmiz1,66,2206,True,0.588,1.02054143335843,0.0682318514361195,0.0293347560965442,False
Copb1,Copb1,117,2179,True,0.596,1.0252067482883,0.0460534982191905,0.0359148801233449,False
Prmt1,Prmt1,27,435,True,0.604,1.10230029888517,0.192821457767389,0.14051730983781,False
Ndufs1,Ndufs1,38,1537,True,0.608,0.9362807715873,0.109936549148526,-0.0949868652552324,False
Marveld1,Marveld1,22,800,True,0.612,1.0928333406793,0.192555974432789,0.128073403838498,False
Rgl1,Rgl1,10,201,True,0.616,1.18772135946283,0.395544844234567,0.248196418233391,False
Cactin,Cactin,52,920,True,0.632,1.05494147539636,0.122638387833148,0.0771629652856056,False
Polg,Polg,37,1393,True,0.632,1.05398063308526,0.133842337645133,0.075848357669099,False
Mettl16,Mettl16,113,1334,True,0.636,0.975374595300008,0.0746879675314229,-0.0359716985972399,False
Naa40,Naa40,36,1371,True,0.636,1.06292100767932,0.120656681902787,0.08803438514388,False
Trim25,Trim25,74,1312,True,0.636,0.955522222331127,0.100030271563367,-0.0656386689121501,False
Ppil1,Ppil1,53,1403,True,0.644,0.956489450311362,0.107708866712566,-0.064179038566279,False
Nabp1,Nabp1,56,1386,True,0.652,1.03412752359321,0.120323771776784,0.0484141027818954,False
Syf2,Syf2,93,2017,True,0.652,0.967818741848166,0.0628119494805045,-0.0471912175556825,False
Pex12,Pex12,59,795,True,0.66,1.05971112539152,0.116889532854366,0.0836710433134493,False
Ndufaf2,Ndufaf2,40,1503,True,0.664,0.945323923856466,0.121527680514426,-0.0811193282352378,False
Serpinb9,Serpinb9,54,1351,True,0.664,0.956483350410366,0.134981695719206,-0.064188239216611,False
Prss36,Prss36,7,142,True,0.668,1.13644232885925,0.40083741692614,0.184524473438781,False
Mettl1,Mettl1,43,1272,True,0.672,1.03571961276355,0.138733352770591,0.0506334933478315,False
Rpn2,Rpn2,58,2169,True,0.676,1.02860765091712,0.070196237663131,0.0406927897957533,False
Coasy,Coasy,26,975,True,0.68,0.912860201479892,0.155537064471074,-0.131534156993729,False
Eefsec,Eefsec,24,800,True,0.68,1.07251693282344,0.203811042078091,0.101000425074528,False
Pnn,Pnn,83,1825,True,0.68,0.964015265482848,0.0802241607762763,-0.0528721027246282,False
Tmem33,Tmem33,82,1977,True,0.68,0.969710284077461,0.065451520102185,-0.044374310635277,False
Uqcr11,Uqcr11,32,1217,True,0.68,1.05099869940248,0.147398306533008,0.071760883984439,False
Nup37,Nup37,31,1192,True,0.684,1.03753463033517,0.149340006355229,0.0531594908489771,False
Parp12,Parp12,22,486,True,0.684,1.08565889708422,0.219916661639352,0.118570894316768,False
Insig2,Insig2,43,1771,True,0.688,1.04017226176575,0.105685398654069,0.0568224712657765,False
Nudt7,Nudt7,17,1098,True,0.688,0.903925339372357,0.175471160692616,-0.14572447818212,False
Socs2,Socs2,16,385,True,0.704,0.89828169656953,0.220534372895873,-0.154760157143216,False
Ell2,Ell2,37,1454,True,0.712,1.03091836701497,0.140526733332126,0.0439300978220223,False
Isy1,Isy1,111,1989,True,0.716,0.979622782509108,0.0538169979966254,-0.0297017686878927,False
Mta1,Mta1,55,1814,True,0.716,1.03118224664308,0.0979454148087864,0.0442993308559739,False
Stab1,Stab1,9,214,True,0.716,1.15087968343373,0.372878219559685,0.202737017495791,False
Cep120,Cep120,33,1500,True,0.72,0.951154986571878,0.101259475061927,-0.0722476537589651,False
Klhl26,Klhl26,25,1134,True,0.72,0.907055819204357,0.15331615203642,-0.140736759556503,False
Zc3h8,Zc3h8,21,698,True,0.72,0.924999794160155,0.215427259966778,-0.112475050300744,False
