names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,cluster
Hells,76.09291,1.8294808,0.0,0.0,0.9977505623594102,0.7974929318390844,5
Mcm2,73.52989,1.6163394,0.0,0.0,0.9932516870782304,0.8063153591988282,5
Uhrf1,72.7585,2.0724683,0.0,0.0,0.9515121219695076,0.5433457097114828,5
Pcna,69.30873,1.6192476,0.0,0.0,0.9880029992501874,0.794631604046735,5
Mcm3,69.25482,1.8251804,0.0,0.0,0.9625093726568358,0.6229859999318732,5
Dtl,68.78908,2.4380465,0.0,0.0,0.8520369907523119,0.31907211227305243,5
Cdt1,65.776024,1.6595299,0.0,0.0,0.9670082479380155,0.6389958101985898,5
Mcm4,65.64053,1.6836358,0.0,0.0,0.9562609347663085,0.6093606294921143,5
Pola2,65.0298,1.5876113,0.0,0.0,0.9615096225943515,0.6714923186974145,5
Fen1,63.433014,1.5356221,0.0,0.0,0.9865033741564608,0.7272200837960282,5
Tcf19,62.873592,1.8968167,0.0,0.0,0.9197700574856286,0.4900364478659264,5
Ung,62.8088,3.12588,0.0,0.0,0.7120719820044988,0.1378206219981606,5
Atad2,58.70191,1.6274862,0.0,0.0,0.9295176205948513,0.5318322716898866,5
Mcm7,58.136932,1.3611153,0.0,0.0,0.9577605598600349,0.7025581633000647,5
Atad5,55.01673,1.8185201,0.0,0.0,0.799550112471882,0.37933031304288584,5
Zfp367,54.491238,1.7349167,0.0,0.0,0.8177955511122219,0.4093742548625541,5
Tipin,54.48747,1.308973,0.0,0.0,0.9522619345163709,0.6732636168545832,5
Rpa1,53.48124,1.2405423,0.0,0.0,0.9410147463134216,0.6862077187723541,5
Hat1,53.26544,1.2723217,0.0,0.0,0.939515121219695,0.6705726061927308,5
Gmnn,53.07303,1.2131149,0.0,0.0,0.9570107473131717,0.7208842865415404,5
Fn1,45.85134,1.4561464,0.0,0.0,0.9972175848636616,0.932448274769494,6
Itih2,38.113716,1.2341363,0.0,0.0,0.9782971619365609,0.8662589905262824,6
Gsr,35.03393,0.5977267,6.849954282723292e-269,4.3542876057177726e-265,0.998330550918197,0.9865340134976712,6
Cd24a,34.589962,0.63606346,3.576354062312328e-262,1.7050267992074023e-258,1.0,0.9940432812648522,6
Alb,33.163925,2.8474734,3.567423620325284e-241,1.3606153687920635e-237,0.5959933222036727,0.15769462311080132,6
Slfn2,32.94036,0.9704012,5.8134630423294993e-238,1.5837534316746222e-234,0.9738452977184195,0.8892937486137955,6
Krt19,31.55709,0.8406135,1.4332788662220782e-218,3.416578497356879e-215,0.996661101836394,0.9839992395678211,6
Dcbld2,30.85036,1.1662455,5.539697797318949e-209,1.1738004110541374e-205,0.8363939899833055,0.6223186844523304,6
Cdh1,30.692593,0.76241565,7.146523800184942e-207,1.3628420886952685e-203,0.9760712298274903,0.9186020721776876,6
Ctsh,30.306274,0.91197973,9.476431133965888e-202,1.6428685611339044e-198,0.9593767390094602,0.8733880422039859,6
