names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
Siglecg,0.4324955,0.23409028,0.6653813132887556,1.0,0.027542167897571516
Tbc1d2,0.43216676,0.38257527,0.6656202278734089,1.0,0.024059083432773246
Snapin,0.43209678,0.005139764,0.6656710823193795,1.0,0.5136582062115006
Wdpcp,0.4317258,0.07658862,0.6659407172845918,1.0,0.1181668655464895
Actr2,0.43094274,0.014792286,0.6665099987097967,1.0,0.9759409165672267
Zranb3,0.43074393,0.22449309,0.6666545702633384,1.0,0.038055922856129264
Lin9,0.43064064,0.03528602,0.6667296877459961,1.0,0.17483148966362436
Nfil3,0.43044516,0.010276734,0.6668718547077794,1.0,0.48721256490469894
Crybg3,0.43028188,0.05523645,0.6669906056004727,1.0,0.09333376334376109
Letmd1,0.4300664,0.029928902,0.6671473372358567,1.0,0.43496629793272484
Nt5c2,0.42937887,0.014232264,0.667647521338119,1.0,0.877576031218757
Nrep,0.42924005,0.13058263,0.667748545749379,1.0,0.10662108556132487
Arhgef28,0.42891905,0.01473847,0.6679821372368615,1.0,0.6213113167994324
Psme4,0.4288813,0.02049391,0.6680096207032395,1.0,0.8988937981746057
Cox6c,0.42877576,0.07929714,0.6680864151010171,1.0,0.11990840777888864
Igsf8,0.42866582,0.010289065,0.6681664466441235,1.0,0.661334537362531
Ddx11,0.4286347,0.033172283,0.6681890825124268,1.0,0.30028703196052503
Capn1,0.42790166,0.0149172675,0.668722729609889,1.0,0.8823168961847325
Sec61a2,0.42783722,0.017445713,0.6687696338761866,1.0,0.5266875221724127
Zbtb10,0.42755845,0.018895933,0.6689726310328674,1.0,0.5394265810945915
Trpv4,0.42723522,0.13723087,0.6692080086230792,1.0,0.08965717418647402
Tubgcp6,0.42697644,0.033129536,0.6693964959005569,1.0,0.4841809913890412
Als2,0.4264866,0.024802303,0.6697533035094005,1.0,0.6427258361015254
Cry1,0.42645773,0.046205044,0.6697743421133879,1.0,0.2921598348759957
Scai,0.4262489,0.008385726,0.6699264751130023,1.0,0.18621601573838165
Atrx,0.42614007,0.004422565,0.6700057838546685,1.0,0.8241042345276873
Anxa9,0.4258113,0.017905174,0.6702453509586764,1.0,0.10158996355661624
Orai2,0.4254681,0.044353824,0.6704954753725882,1.0,0.1030412487502822
Mtss1,0.4253559,0.022806827,0.6705772391709619,1.0,0.3541458380365724
Hic2,0.42526373,0.21141735,0.670644434123888,1.0,0.057374141322927084
Itpa,0.42524263,0.0049863835,0.670659816471631,1.0,0.7317379946463701
Snap23,0.42518264,0.20387226,0.6707035354767814,1.0,0.03038023672074048
Ahcyl2,0.42514822,0.023065323,0.6707286339279306,1.0,0.39687812429451413
Hes1,0.42467615,0.008985143,0.6710727626332753,1.0,0.7951107814364499
Lurap1l,0.42403084,0.018136524,0.6715433184324858,1.0,0.3041571258103009
Sdhd,0.42377093,0.00063316204,0.6717328729894823,1.0,0.7612474602509111
Ddx17,0.4237665,0.013783333,0.6717361134198505,1.0,0.843132195955752
Cenpt,0.42344773,0.01669423,0.6719686302180843,1.0,0.4592188860579869
Zfp64,0.4231545,0.025370387,0.6721825409820408,1.0,0.6608185248492275
Lpl,0.42292902,0.019639727,0.6723470434484471,1.0,0.1897313509852614
Topbp1,0.42291015,0.0069382093,0.6723608202290331,1.0,0.7411874737962395
Nbl1,0.42290127,0.17288755,0.6723673034579642,1.0,0.03544360950753056
Gnl3l,0.42278796,0.010780494,0.6724499667622031,1.0,0.5271067823394717
Uhmk1,0.42243034,0.015798967,0.6727109494433989,1.0,0.5005321379043441
Timm17a,0.42228037,0.015214362,0.6728203793815455,1.0,0.924339665236882
Fam149b,0.4221993,0.01079915,0.6728795554939843,1.0,0.5533266681717032
Vps18,0.4221049,0.040754575,0.672948461739185,1.0,0.355435869319831
Gnao1,0.42175946,0.123519085,0.6732006009307487,1.0,0.07111297448963137
Hoxb4,0.42171502,0.18543285,0.6732330330756,1.0,0.07433805269777792
Tspan15,0.42150956,0.012394025,0.6733830396489655,1.0,0.5102718740929467
Ino80e,0.4212141,0.11430332,0.6735987475462037,1.0,0.11168445834811494
Plekha7,0.42088756,0.034616422,0.6738371927705371,1.0,0.28629019253716903
Fam241a,0.42078093,0.012329628,0.6739150595347247,1.0,0.5419098913148643
Zc3hav1l,0.42050102,0.01833147,0.6741194764112649,1.0,0.18112039216951012
Zfp790,0.42037886,0.003808792,0.6742087135445962,1.0,0.27068081400973976
Atg2a,0.42019448,0.049531877,0.6743433891683159,1.0,0.09859064082303996
Twf1,0.41992125,-0.0014821336,0.6745429878947897,1.0,0.9894862450414422
Snx24,0.41989014,0.15788232,0.6745657079010026,1.0,0.05998645467152579
H60b,0.4196769,0.13747977,0.6747215102208337,1.0,0.031186506272777116
Oas1c,0.4189827,0.10200904,0.6752287757780712,1.0,0.05721288741251975
Sar1b,0.41882387,0.0058574206,0.6753448588882438,1.0,0.9378849937110975
Coq10b,0.4187728,0.0091763185,0.6753822019500119,1.0,0.7030993001580288
Csnk2a2,0.4187661,0.009035309,0.675387072843063,1.0,0.836553036411133
Ppp3ca,0.4185262,0.041159056,0.6755624340447601,1.0,0.28896700744993065
